sweep,mode,direction,setting_name,setting,input_flux,conversion_flux,P_flux,Q_flux,Pprime_flux,conversion_efficiency,fidelity_P_fraction,promiscuity_Pprime_fraction,Q_branch_fraction,P_over_Q_ratio,A_mean,P_mean,Q_mean,Pprime_mean,activity_mean,mode_state_mean,P_out_flux,Q_out_flux,Pprime_out_flux
conversion_throughput,linear_control,,input_flux,0.25,0.241538,0.176923,0.173846,0.0,0.003077,0.732484,0.982609,0.017391,0.0,0.0,6.02,3.041538,0.0,0.058462,0.196424,0.0,0.173846,0.0,0.003077
conversion_throughput,linear_control,,input_flux,0.5,0.484615,0.381538,0.378462,0.0,0.003077,0.787302,0.991935,0.008065,0.0,0.0,8.326154,5.629231,0.0,0.02,0.254689,0.0,0.376923,0.0,0.003077
conversion_throughput,linear_control,,input_flux,1.0,1.015385,0.881538,0.86,0.0,0.021538,0.868182,0.975567,0.024433,0.0,0.0,12.833846,14.327692,0.0,0.230769,0.350133,0.0,0.86,0.0,0.021538
conversion_throughput,linear_control,,input_flux,2.0,2.050769,1.838462,1.807692,0.0,0.030769,0.896474,0.983264,0.016736,0.0,0.0,19.358462,27.672308,0.0,0.326154,0.454256,0.0,1.803077,0.0,0.030769
conversion_throughput,linear_control,,input_flux,4.0,3.809231,3.476923,3.412308,0.0,0.064615,0.912763,0.981416,0.018584,0.0,0.0,29.946154,51.921538,0.0,0.970769,0.569074,0.0,3.407692,0.0,0.061538
conversion_throughput,linear_control,,input_flux,7.0,7.049231,6.486154,6.329231,0.0,0.156923,0.920125,0.975808,0.024192,0.0,0.0,42.44,96.552308,0.0,2.481538,0.628985,0.0,6.316923,0.0,0.152308
conversion_throughput,linear_control,,input_flux,10.0,10.004615,9.316923,9.130769,0.0,0.186154,0.931262,0.98002,0.01998,0.0,0.0,58.246154,139.033846,0.0,2.803077,0.735736,0.0,9.138462,0.0,0.187692
conversion_throughput,threshold,,input_flux,0.25,0.263077,0.036923,0.036923,0.0,0.0,0.140351,1.0,0.0,0.0,0.0,21.412308,0.469231,0.0,0.0,0.033765,0.0,0.035385,0.0,0.0
conversion_throughput,threshold,,input_flux,0.5,0.549231,0.290769,0.284615,0.0,0.006154,0.529412,0.978836,0.021164,0.0,0.0,27.383077,4.290769,0.0,0.081538,0.065351,0.0,0.286154,0.0,0.006154
conversion_throughput,threshold,,input_flux,1.0,0.998462,0.755385,0.744615,0.0,0.010769,0.756923,0.985743,0.014257,0.0,0.0,31.406154,11.463077,0.0,0.196923,0.216329,0.0,0.750769,0.0,0.012308
conversion_throughput,threshold,,input_flux,2.0,1.972308,1.678462,1.650769,0.0,0.027692,0.851014,0.983503,0.016497,0.0,0.0,32.603077,26.78,0.0,0.490769,0.292564,0.0,1.641538,0.0,0.026154
