event,t,phase,description,quality,fill_frac,backpressure,integrity,release,terrain
quality_lt_0_7,206,leaky_contamination,Product quality first drops below 0.7.,0.679075640296,0.091646068057,0.931265448957,0.939623476053,0.188953881472,0.597647412079
quality_lt_0_5,218,leaky_contamination,Product quality first drops below 0.5.,0.491226794457,0.096236521169,0.927822609124,0.936169169271,0.197771695917,0.570936816003
quality_lt_0_3,259,leaky_contamination,Product quality first drops below 0.3.,0.299836613602,0.083749876098,0.937187592926,0.924404417259,0.17195881663,0.429666640756
fill_gt_0_5,420,storage_pressure,Reservoir fill fraction first exceeds 0.5.,0.232621050915,0.503025794174,0.396369046992,0.878762156414,0.009183133517,0.137148360224
fill_gt_0_75,510,storage_pressure,Reservoir fill fraction first exceeds 0.75.,0.272125225775,0.750610776945,0.099267067666,0.853629507157,0.013538844198,0.044840364245
backpressure_lt_0_5,410,storage_pressure,Backpressure first drops below 0.5.,0.225671536329,0.424526378152,0.490568346217,0.881571465988,0.007805509911,0.158233711031
backpressure_lt_0_2,462,storage_pressure,Backpressure first drops below 0.2.,0.255664990882,0.668194952361,0.198166057167,0.866999802481,0.01208990849,0.077811499113
integrity_lt_0_5,648,stress_collapse,Membrane integrity first drops below 0.5.,0.355510643926,0.787914891687,0.054502129976,0.498291625263,0.01419590028,0.020806130016
integrity_lt_0_1,708,stress_collapse,Membrane integrity first drops below 0.1.,0.483511064409,0.779457374968,0.064651150039,0.093291625263,0.014039161005,0.022649408361
rescue_integrity_gt_0_5_after_800,893,stabilizer_rescue,"During stabilizer phase, membrane integrity first returns above 0.5.",0.880029302399,0.057718960904,0.956710779322,0.500409137866,0.094091058376,0.337064978506
