gamma,gamma_over_pi,dynamics,odd_parity_population,parity_expectation,p000_after_readout,pairwise_additive_prediction_odd,synergy_residual_odd,response_readout
0.0,0.0,baseline,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.0,0.0,pair_MC,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.0,0.0,pair_CR,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.0,0.0,pair_MR,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.0,0.0,pairwise_product,0.0,1.0,1.0,0.0,0.0,diagonal_odd_parity_population_after_local_H
0.0,0.0,genuine_3body,0.0,1.0,1.0,0.0,0.0,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,baseline,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,pair_MC,0.0,1.0,0.961939766256,,,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,pair_CR,0.0,1.0,0.961939766256,,,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,pair_MR,0.0,1.0,0.961939766256,,,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,pairwise_product,0.0,1.0,0.890165042945,0.0,0.0,diagonal_odd_parity_population_after_local_H
0.196349540849,0.0625,genuine_3body,0.038060233744,0.923879532511,0.961939766256,0.0,0.038060233744,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,baseline,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,pair_MC,0.0,1.0,0.853553390593,,,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,pair_CR,0.0,1.0,0.853553390593,,,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,pair_MR,0.0,1.0,0.853553390593,,,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,pairwise_product,0.0,1.0,0.625,0.0,0.0,diagonal_odd_parity_population_after_local_H
0.392699081699,0.125,genuine_3body,0.146446609407,0.707106781187,0.853553390593,0.0,0.146446609407,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,baseline,0.0,1.0,1.0,,,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,pair_MC,0.0,1.0,0.5,,,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,pair_CR,0.0,1.0,0.5,,,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,pair_MR,0.0,1.0,0.5,,,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,pairwise_product,0.0,1.0,0.25,0.0,0.0,diagonal_odd_parity_population_after_local_H
0.785398163397,0.25,genuine_3body,0.5,0.0,0.5,0.0,0.5,diagonal_odd_parity_population_after_local_H
